update,mean_coopval,mean_foodval,mean_p53,count
0,0.5,10,0.2,1
1,0.5,10,0.2,1
2,0.5,10,0.2,1
3,0.5,10,0.2,1
4,0.5,10,0.2,1
5,0.5,10,0.2,1
6,0.5,10,0.2,1
7,0.5,10,0.2,1
8,0.5,10,0.2,1
9,0.5,10,0.2,1
10,0.5,10,0.2,1
11,0.5,10,0.2,1
12,0.5,10,0.2,1
13,0.5,10,0.2,1
14,0.5,10,0.2,1
15,0.5,10,0.2,1
16,0.5,10,0.2,1
17,0.5,10,0.2,1
18,0.5,10,0.2,1
19,0.5,10,0.2,1
20,0.788002,9.86103,0.158607,2
21,0.788002,9.86103,0.158607,2
22,0.788002,9.86103,0.158607,2
23,0.788002,9.86103,0.158607,2
24,0.788002,9.86103,0.158607,2
25,0.788002,9.86103,0.158607,2
26,0.788002,9.86103,0.158607,2
27,0.788002,9.86103,0.158607,2
28,0.788002,9.86103,0.158607,2
29,0.788002,9.86103,0.158607,2
30,0.788002,9.86103,0.158607,2
31,0.788002,9.86103,0.158607,2
32,0.788002,9.86103,0.158607,2
33,0.788002,9.86103,0.158607,2
34,0.788002,9.86103,0.158607,2
35,0.788002,9.86103,0.158607,2
36,0.788002,9.86103,0.158607,2
37,0.788002,9.86103,0.158607,2
38,0.788002,9.86103,0.158607,2
39,0.788002,9.86103,0.158607,2
40,0.445642,9.60949,0.17743,4
41,0.445642,9.60949,0.17743,4
42,0.445642,9.60949,0.17743,4
43,0.445642,9.60949,0.17743,4
44,0.445642,9.60949,0.17743,4
45,0.445642,9.60949,0.17743,4
46,0.445642,9.60949,0.17743,4
47,0.445642,9.60949,0.17743,4
48,0.445642,9.60949,0.17743,4
49,0.445642,9.60949,0.17743,4
50,0.445642,9.60949,0.17743,4
51,0.445642,9.60949,0.17743,4
52,0.445642,9.60949,0.17743,4
53,0.445642,9.60949,0.17743,4
54,0.445642,9.60949,0.17743,4
55,0.445642,9.60949,0.17743,4
56,0.445642,9.60949,0.17743,4
57,0.445642,9.60949,0.17743,4
58,0.445642,9.60949,0.17743,4
59,0.486219,9.41408,0.192444,5
60,0.52939,9.31059,0.195439,6
61,0.52939,9.31059,0.195439,6
62,0.52939,9.31059,0.195439,6
63,0.52939,9.31059,0.195439,6
64,0.52939,9.31059,0.195439,6
65,0.52939,9.31059,0.195439,6
66,0.52939,9.31059,0.195439,6
67,0.52939,9.31059,0.195439,6
68,0.52939,9.31059,0.195439,6
69,0.52939,9.31059,0.195439,6
70,0.52939,9.31059,0.195439,6
71,0.52939,9.31059,0.195439,6
72,0.52939,9.31059,0.195439,6
73,0.52939,9.31059,0.195439,6
74,0.52939,9.31059,0.195439,6
75,0.52939,9.31059,0.195439,6
76,0.479418,9.05246,0.209576,7
77,0.479418,9.05246,0.209576,7
78,0.577234,9.00088,0.203595,10
79,0.577234,9.00088,0.203595,10
80,0.609579,9.0019,0.212364,12
81,0.609579,9.0019,0.212364,12
82,0.609579,9.0019,0.212364,12
83,0.609579,9.0019,0.212364,12
84,0.609579,9.0019,0.212364,12
85,0.609579,9.0019,0.212364,12
86,0.609579,9.0019,0.212364,12
87,0.609579,9.0019,0.212364,12
88,0.609579,9.0019,0.212364,12
89,0.609579,9.0019,0.212364,12
90,0.609579,9.0019,0.212364,12
91,0.609579,9.0019,0.212364,12
92,0.608874,8.86513,0.22549,13
93,0.644648,8.90998,0.223239,12
94,0.644648,8.90998,0.223239,12
95,0.618751,8.83224,0.227637,13
96,0.635787,8.76145,0.233824,14
97,0.655074,8.7473,0.204596,16
98,0.655074,8.7473,0.204596,16
99,0.680922,8.69617,0.202454,19
100,0.661433,8.69227,0.205893,20
101,0.661433,8.69227,0.205893,20
102,0.661433,8.69227,0.205893,20
103,0.661433,8.69227,0.205893,20
104,0.661433,8.69227,0.205893,20
105,0.661433,8.69227,0.205893,20
106,0.661433,8.69227,0.205893,20
107,0.661433,8.69227,0.205893,20
108,0.586294,8.596,0.217953,22
109,0.586294,8.596,0.217953,22
110,0.586294,8.596,0.217953,22
111,0.586294,8.596,0.217953,22
112,0.605971,8.50431,0.217314,24
113,0.600412,8.481,0.2149,26
114,0.585085,8.4383,0.201023,25
115,0.59371,8.42791,0.200364,26
116,0.597211,8.45028,0.192943,27
117,0.610908,8.39035,0.196231,29
118,0.584618,8.40411,0.198095,31
119,0.557251,8.41619,0.200708,32
120,0.557251,8.41619,0.200708,32
121,0.557251,8.41619,0.200708,32
122,0.549211,8.36208,0.209334,33
123,0.537012,8.31376,0.212292,34
124,0.515141,8.2654,0.216883,36
125,0.515141,8.2654,0.216883,36
126,0.515141,8.2654,0.216883,36
127,0.528305,8.22202,0.211021,37
128,0.523385,8.20568,0.210899,37
129,0.557113,8.18521,0.200638,38
130,0.557113,8.18521,0.200638,38
131,0.58718,8.18932,0.218772,40
132,0.574285,8.15461,0.207316,42
133,0.574763,8.15002,0.205554,43
134,0.57403,8.16483,0.205807,49
135,0.580026,8.15807,0.202487,48
136,0.593887,8.10738,0.198921,50
137,0.593887,8.10738,0.198921,50
138,0.606008,8.12866,0.196972,49
139,0.61313,8.15808,0.196251,49
140,0.621263,8.1492,0.191578,49
141,0.602172,8.12599,0.190454,50
142,0.602172,8.12599,0.190454,50
143,0.602172,8.12599,0.190454,50
144,0.60637,8.1183,0.187401,50
145,0.628934,8.06812,0.178735,53
146,0.628489,8.07022,0.175425,54
147,0.615453,8.04885,0.164206,54
148,0.613195,8.04651,0.168055,56
149,0.60976,7.98361,0.180457,61
150,0.623318,7.99659,0.17531,61
151,0.60763,7.97209,0.177172,66
152,0.595852,7.9653,0.178188,68
153,0.587724,7.97391,0.177211,72
154,0.599171,7.98353,0.172292,74
155,0.591208,7.93262,0.167339,77
156,0.591208,7.93262,0.167339,77
157,0.593111,7.92794,0.168916,79
158,0.588693,7.91947,0.166369,79
159,0.583051,7.91142,0.165344,80
160,0.561213,7.84741,0.158507,85
161,0.561213,7.84741,0.158507,85
162,0.556544,7.82693,0.156797,88
163,0.548915,7.8088,0.153667,91
164,0.55244,7.78552,0.158318,95
165,0.553602,7.77245,0.164346,98
166,0.571128,7.73806,0.159173,105
167,0.569985,7.73642,0.162136,110
168,0.584162,7.70319,0.157191,109
169,0.589661,7.69538,0.149602,119
170,0.574091,7.6881,0.150378,121
171,0.581938,7.6629,0.145403,121
172,0.595042,7.6702,0.143935,124
173,0.60036,7.67214,0.139555,125
174,0.596118,7.59542,0.139916,134
175,0.599952,7.56511,0.13747,138
176,0.594382,7.55595,0.139473,140
177,0.599131,7.52814,0.140454,145
178,0.595839,7.49914,0.136917,150
179,0.585255,7.46545,0.1319,153
180,0.579604,7.42327,0.128921,157
181,0.574809,7.38909,0.131226,167
182,0.584563,7.38479,0.12949,170
183,0.583319,7.36287,0.12857,179
184,0.588047,7.34233,0.12667,187
185,0.590136,7.35451,0.127726,193
186,0.595272,7.34875,0.124115,198
187,0.588554,7.33791,0.120149,211
188,0.585166,7.29048,0.118117,220
189,0.589427,7.2753,0.117425,230
190,0.590978,7.23884,0.118967,240
191,0.593841,7.23658,0.118997,242
192,0.603763,7.21922,0.116181,245
193,0.593215,7.19092,0.114404,260
194,0.58756,7.17287,0.115234,268
195,0.578461,7.16362,0.115103,275
196,0.567816,7.13278,0.115094,288
197,0.573142,7.1194,0.117214,296
198,0.572395,7.10368,0.116946,315
199,0.565224,7.03856,0.116296,335
200,0.566902,7.01513,0.113579,347
201,0.563481,6.9904,0.111861,360
202,0.570632,6.96577,0.114008,383
203,0.568247,6.95594,0.115255,397
204,0.568914,6.95843,0.11327,409
205,0.571915,6.95159,0.113196,423
206,0.568003,6.92914,0.112024,440
207,0.565364,6.91406,0.110485,453
208,0.560594,6.85997,0.110115,476
209,0.556024,6.84022,0.110887,498
210,0.552066,6.80079,0.108162,523
211,0.556819,6.77152,0.10663,544
212,0.552801,6.72978,0.105739,567
213,0.554073,6.71384,0.105911,583
214,0.552693,6.67766,0.10806,612
215,0.548966,6.63898,0.106074,637
216,0.549641,6.60381,0.106946,677
217,0.548254,6.55494,0.107041,708
218,0.544406,6.53695,0.106059,730
219,0.54474,6.53683,0.1055,746
220,0.549093,6.52581,0.104401,775
221,0.549908,6.52558,0.104368,801
222,0.540154,6.50737,0.103874,841
223,0.537407,6.44685,0.102981,903
224,0.535381,6.38843,0.103488,971
225,0.530404,6.35818,0.104107,1008
226,0.531796,6.31354,0.102624,1034
227,0.53315,6.29864,0.103268,1067
228,0.52974,6.28704,0.103037,1101
229,0.519869,6.24687,0.103521,1146
230,0.517095,6.20678,0.102873,1191
231,0.5194,6.16516,0.101758,1233
232,0.519139,6.13084,0.102071,1272
233,0.514064,6.09232,0.100959,1321
234,0.517523,6.06184,0.098107,1372
235,0.524344,6.01419,0.0980664,1461
236,0.523096,5.968,0.0957932,1516
237,0.519523,5.9276,0.0953202,1593
238,0.518,5.90145,0.0944228,1659
239,0.517415,5.85764,0.0946995,1734
240,0.515872,5.80992,0.0944726,1788
241,0.513115,5.75063,0.0948155,1861
242,0.517534,5.67183,0.0944903,1941
243,0.518091,5.58146,0.0945442,2025
244,0.514899,5.51069,0.0941733,2125
245,0.512916,5.43484,0.0946925,2224
246,0.509593,5.32963,0.0927536,2340
247,0.508176,5.20131,0.0927416,2456
248,0.504074,5.07749,0.0926531,2610
249,0.504576,4.95132,0.0916082,2770
250,0.507236,4.7907,0.0911258,2941
251,0.505002,4.58145,0.0904038,3141
252,0.499401,4.33537,0.0912342,3367
253,0.498767,4.11034,0.0919757,3624
254,0.496644,3.82326,0.0926933,3949
255,0.496199,3.5791,0.0916435,4282
256,0.49319,3.27625,0.0909721,4673
257,0.498794,2.98346,0.0896126,5094
258,0.495762,2.71384,0.0896625,5542
259,0.494774,2.45175,0.0899719,5972
260,0.496754,2.21965,0.0880285,6426
261,0.498365,2.01318,0.0882131,6847
262,0.49894,1.83991,0.0873244,7257
263,0.504056,1.66825,0.0878564,7609
264,0.500288,1.53137,0.0886242,7917
265,0.501211,1.42174,0.0891017,8146
266,0.502858,1.34829,0.0896306,8367
267,0.508321,1.2763,0.0884413,8516
268,0.512707,1.22908,0.0869127,8621
269,0.512193,1.19477,0.0872064,8746
270,0.506378,1.16242,0.0867543,8821
271,0.506585,1.13457,0.0867202,8869
272,0.501799,1.10966,0.086162,8971
273,0.503544,1.09297,0.0861738,8978
274,0.502723,1.08231,0.084857,9015
275,0.504213,1.06648,0.0850742,8992
276,0.504372,1.05682,0.0856348,8998
277,0.505516,1.05106,0.0864963,8994
278,0.508976,1.04799,0.0861849,9032
279,0.502782,1.04636,0.0871153,9029
280,0.503409,1.04458,0.0870513,9031
281,0.503893,1.0413,0.0882905,9040
282,0.499456,1.04056,0.0879947,9038
283,0.499978,1.04013,0.0889886,9050
284,0.501203,1.03944,0.0889658,9043
