update,mean_coopval,mean_foodval,count
0,0.5,300,1
1,0.5,300,1
2,0.5,300,1
3,0.5,300,1
4,0.5,300,1
5,0.5,300,1
6,0.5,300,1
7,0.5,300,1
8,0.5,300,1
9,0.5,300,1
10,0.5,300,1
11,0.5,300,1
12,0.5,300,1
13,0.5,300,1
14,0.5,300,1
15,0.5,300,1
16,0.5,300,1
17,0.5,300,1
18,0.5,300,1
19,0.5,300,1
20,0.5,300,1
21,0.5,300,1
22,0.5,300,1
23,0.5,300,1
24,0.5,300,1
25,0.5,300,1
26,0.5,300,1
27,0.5,300,1
28,0.5,300,1
29,0.5,300,1
30,0.5,300,1
31,0.5,300,1
32,0.5,300,1
33,0.5,300,1
34,0.5,300,1
35,0.5,300,1
36,0.5,300,1
37,0.5,300,1
38,0.5,300,1
39,0.5,300,1
40,0.5,300,1
41,0.5,300,1
42,0.5,300,1
43,0.5,300,1
44,0.5,300,1
45,0.5,300,1
46,0.5,300,1
47,0.5,300,1
48,0.5,300,1
49,0.5,300,1
50,0.5,300,1
51,0.5,300,1
52,0.5,300,1
53,0.5,300,1
54,0.5,300,1
55,0.5,300,1
56,0.5,300,1
57,0.5,300,1
58,0.5,300,1
59,0.5,300,1
60,0.5,300,1
61,0.5,300,1
62,0.5,300,1
63,0.5,300,1
64,0.5,300,1
65,0.5,300,1
66,0.5,300,1
67,0.5,300,1
68,0.5,300,1
69,0.5,300,1
70,0.5,300,1
71,0.5,300,1
72,0.5,300,1
73,0.5,300,1
74,0.5,300,1
75,0.5,300,1
76,0.5,300,1
77,0.5,300,1
78,0.5,300,1
79,0.5,300,1
80,0.5,300,1
81,0.5,300,1
82,0.5,300,1
83,0.5,300,1
84,0.5,300,1
85,0.5,300,1
86,0.5,300,1
87,0.5,300,1
88,0.5,300,1
89,0.5,300,1
90,0.5,300,1
91,0.5,300,1
92,0.5,300,1
93,0.5,300,1
94,0.5,300,1
95,0.5,300,1
96,0.5,300,1
97,0.5,300,1
98,0.5,300,1
99,0.5,300,1
100,0.5,300,1
101,0.5,300,1
102,0.5,300,1
103,0.5,300,1
104,0.5,300,1
105,0.5,300,1
106,0.5,300,1
107,0.5,300,1
108,0.5,300,1
109,0.5,300,1
110,0.5,300,1
111,0.5,300,1
112,0.5,300,1
113,0.5,300,1
114,0.5,300,1
115,0.5,300,1
116,0.5,300,1
117,0.5,300,1
118,0.5,300,1
119,0.5,300,1
120,0.5,300,1
121,0.5,300,1
122,0.5,300,1
123,0.5,300,1
124,0.5,300,1
125,0.5,300,1
126,0.5,300,1
127,0.5,300,1
128,0.5,300,1
129,0.5,300,1
130,0.5,300,1
131,0.5,300,1
132,0.5,300,1
133,0.5,300,1
134,0.5,300,1
135,0.5,300,1
136,0.5,300,1
137,0.5,300,1
138,0.5,300,1
139,0.5,300,1
140,0.5,300,1
141,0.5,300,1
142,0.5,300,1
143,0.5,300,1
144,0.5,300,1
145,0.5,300,1
146,0.5,300,1
147,0.5,300,1
148,0.5,300,1
149,0.5,300,1
150,0.5,300,1
151,0.5,300,1
152,0.5,300,1
153,0.5,300,1
154,0.5,300,1
155,0.5,300,1
156,0.5,300,1
157,0.5,300,1
158,0.5,300,1
159,0.5,300,1
160,0.5,300,1
161,0.5,300,1
162,0.5,300,1
163,0.5,300,1
164,0.5,300,1
165,0.5,300,1
166,0.5,300,1
167,0.5,300,1
168,0.5,300,1
169,0.5,300,1
170,0.5,300,1
171,0.5,300,1
172,0.5,300,1
173,0.5,300,1
174,0.5,300,1
175,0.5,300,1
176,0.5,300,1
177,0.5,300,1
178,0.5,300,1
179,0.5,300,1
180,0.5,300,1
181,0.5,300,1
182,0.5,300,1
183,0.5,300,1
184,0.5,300,1
185,0.5,300,1
186,0.5,300,1
187,0.5,300,1
188,0.5,300,1
189,0.5,300,1
190,0.5,300,1
191,0.5,300,1
192,0.5,300,1
193,0.5,300,1
194,0.5,300,1
195,0.5,300,1
196,0.5,300,1
197,0.5,300,1
198,0.5,300,1
199,0.5,300,1
200,0.5,300,1
201,0.5,300,1
202,0.5,300,1
203,0.5,300,1
204,0.5,300,1
205,0.5,300,1
206,0.5,300,1
207,0.5,300,1
208,0.5,300,1
209,0.5,300,1
210,0.5,300,1
211,0.5,300,1
212,0.5,300,1
213,0.5,300,1
214,0.5,300,1
215,0.5,300,1
216,0.5,300,1
217,0.5,300,1
218,0.5,300,1
219,0.5,300,1
220,0.5,300,1
221,0.5,300,1
222,0.5,300,1
