update,mean_coopval,mean_foodval,mean_p53,count
0,0.5,10,0.3,1
1,0.5,10,0.3,1
2,0.5,10,0.3,1
3,0.5,10,0.3,1
4,0.5,10,0.3,1
5,0.5,10,0.3,1
6,0.5,10,0.3,1
7,0.5,10,0.3,1
8,0.5,10,0.3,1
9,0.5,10,0.3,1
10,0.5,10,0.3,1
11,0.5,10,0.3,1
12,0.5,10,0.3,1
13,0.5,10,0.3,1
14,0.5,10,0.3,1
15,0.5,10,0.3,1
16,0.5,10,0.3,1
17,0.5,10,0.3,1
18,0.5,10,0.3,1
19,0.5,10,0.3,1
20,0.793784,9.8816,0.239011,2
21,0.793784,9.8816,0.239011,2
22,0.793784,9.8816,0.239011,2
23,0.793784,9.8816,0.239011,2
24,0.793784,9.8816,0.239011,2
25,0.793784,9.8816,0.239011,2
26,0.793784,9.8816,0.239011,2
27,0.793784,9.8816,0.239011,2
28,0.793784,9.8816,0.239011,2
29,0.793784,9.8816,0.239011,2
30,0.793784,9.8816,0.239011,2
31,0.793784,9.8816,0.239011,2
32,0.793784,9.8816,0.239011,2
33,0.793784,9.8816,0.239011,2
34,0.793784,9.8816,0.239011,2
35,0.793784,9.8816,0.239011,2
36,0.793784,9.8816,0.239011,2
37,0.793784,9.8816,0.239011,2
38,0.793784,9.8816,0.239011,2
39,0.669224,9.60504,0.242111,3
