update,mean_coopval,mean_foodval,mean_p53,count
0,0.5,10,0.3,1
1,0.5,10,0.3,1
2,0.5,10,0.3,1
3,0.5,10,0.3,1
4,0.5,10,0.3,1
5,0.5,10,0.3,1
6,0.5,10,0.3,1
7,0.5,10,0.3,1
8,0.5,10,0.3,1
9,0.5,10,0.3,1
10,0.5,10,0.3,1
11,0.5,10,0.3,1
12,0.5,10,0.3,1
13,0.5,10,0.3,1
14,0.5,10,0.3,1
15,0.5,10,0.3,1
16,0.5,10,0.3,1
17,0.5,10,0.3,1
18,0.5,10,0.3,1
19,0.5,10,0.3,1
20,0.500648,9.79096,0.25307,2
21,0.500648,9.79096,0.25307,2
22,0.500648,9.79096,0.25307,2
23,0.500648,9.79096,0.25307,2
24,0.500648,9.79096,0.25307,2
25,0.500648,9.79096,0.25307,2
26,0.500648,9.79096,0.25307,2
27,0.500648,9.79096,0.25307,2
28,0.500648,9.79096,0.25307,2
29,0.500648,9.79096,0.25307,2
30,0.500648,9.79096,0.25307,2
31,0.500648,9.79096,0.25307,2
32,0.500648,9.79096,0.25307,2
33,0.500648,9.79096,0.25307,2
34,0.500648,9.79096,0.25307,2
35,0.500648,9.79096,0.25307,2
36,0.500648,9.79096,0.25307,2
37,0.500648,9.79096,0.25307,2
38,0.500648,9.79096,0.25307,2
39,0.354878,9.58469,0.24582,3
40,0.353632,9.68808,0.240328,4
41,0.353632,9.68808,0.240328,4
42,0.353632,9.68808,0.240328,4
43,0.353632,9.68808,0.240328,4
44,0.353632,9.68808,0.240328,4
45,0.353632,9.68808,0.240328,4
46,0.353632,9.68808,0.240328,4
47,0.353632,9.68808,0.240328,4
48,0.353632,9.68808,0.240328,4
49,0.353632,9.68808,0.240328,4
50,0.353632,9.68808,0.240328,4
51,0.353632,9.68808,0.240328,4
52,0.353632,9.68808,0.240328,4
53,0.353632,9.68808,0.240328,4
54,0.353632,9.68808,0.240328,4
55,0.353632,9.68808,0.240328,4
56,0.353632,9.68808,0.240328,4
57,0.353632,9.68808,0.240328,4
58,0.356576,9.45536,0.221791,6
59,0.356576,9.45536,0.221791,6
60,0.34055,9.44011,0.20615,5
61,0.276035,9.59257,0.212641,6
62,0.276035,9.59257,0.212641,6
63,0.276035,9.59257,0.212641,6
64,0.276035,9.59257,0.212641,6
65,0.276035,9.59257,0.212641,6
66,0.276035,9.59257,0.212641,6
67,0.276035,9.59257,0.212641,6
68,0.276035,9.59257,0.212641,6
69,0.276035,9.59257,0.212641,6
70,0.276035,9.59257,0.212641,6
71,0.276035,9.59257,0.212641,6
72,0.276035,9.59257,0.212641,6
73,0.276035,9.59257,0.212641,6
74,0.276035,9.59257,0.212641,6
75,0.276035,9.59257,0.212641,6
76,0.331241,9.72907,0.207993,5
77,0.360765,9.44025,0.207342,7
78,0.31567,9.38561,0.220821,8
79,0.31567,9.38561,0.220821,8
80,0.320405,9.29915,0.217353,7
81,0.320405,9.29915,0.217353,7
82,0.320405,9.29915,0.217353,7
83,0.285737,9.43815,0.218299,8
84,0.285737,9.43815,0.218299,8
85,0.285737,9.43815,0.218299,8
86,0.285737,9.43815,0.218299,8
87,0.285737,9.43815,0.218299,8
88,0.285737,9.43815,0.218299,8
89,0.285737,9.43815,0.218299,8
90,0.285737,9.43815,0.218299,8
91,0.285737,9.43815,0.218299,8
92,0.285737,9.43815,0.218299,8
93,0.285737,9.43815,0.218299,8
94,0.395112,9.24308,0.215703,9
95,0.429812,9.13514,0.223772,10
96,0.439085,9.02108,0.214815,13
97,0.439085,9.02108,0.214815,13
98,0.475675,8.97459,0.206451,12
99,0.475675,8.97459,0.206451,12
100,0.475675,8.97459,0.206451,12
101,0.475675,8.97459,0.206451,12
102,0.475675,8.97459,0.206451,12
103,0.455653,8.9895,0.201254,13
104,0.455653,8.9895,0.201254,13
105,0.447667,9.10355,0.186879,14
106,0.447667,9.10355,0.186879,14
107,0.447667,9.10355,0.186879,14
108,0.447667,9.10355,0.186879,14
109,0.447667,9.10355,0.186879,14
110,0.470592,8.97258,0.190129,15
111,0.494116,8.84463,0.199363,16
112,0.483338,8.82794,0.203217,17
113,0.439773,8.70698,0.212911,21
114,0.416884,8.66969,0.213029,22
115,0.403322,8.68626,0.211754,23
116,0.45508,8.69731,0.222718,24
117,0.45508,8.69731,0.222718,24
118,0.45508,8.69731,0.222718,24
119,0.45508,8.69731,0.222718,24
120,0.45508,8.69731,0.222718,24
121,0.45508,8.69731,0.222718,24
122,0.44487,8.71688,0.221126,25
123,0.429574,8.73413,0.220052,26
124,0.429574,8.73413,0.220052,26
125,0.477764,8.62664,0.223122,28
126,0.48922,8.71466,0.211055,28
127,0.506021,8.58726,0.21266,28
128,0.506021,8.58726,0.21266,28
129,0.505895,8.55472,0.205128,29
130,0.507229,8.53194,0.202472,27
131,0.501032,8.47102,0.209818,28
132,0.501032,8.47102,0.209818,28
133,0.519589,8.45323,0.210785,27
134,0.5077,8.41655,0.213683,27
135,0.525282,8.42987,0.227529,28
136,0.525282,8.42987,0.227529,28
137,0.525282,8.42987,0.227529,28
138,0.525282,8.42987,0.227529,28
139,0.525282,8.42987,0.227529,28
140,0.542775,8.32136,0.235345,30
141,0.56177,8.26349,0.234496,34
142,0.560097,8.19295,0.233081,34
143,0.560097,8.19295,0.233081,34
144,0.560097,8.19295,0.233081,34
145,0.55629,8.18069,0.239898,34
146,0.592614,8.26625,0.238093,32
147,0.583196,8.29267,0.232495,35
148,0.589083,8.26263,0.230882,37
149,0.565862,8.25232,0.230223,38
150,0.565862,8.25232,0.230223,38
151,0.576993,8.24183,0.229247,39
152,0.564536,8.23557,0.229017,40
153,0.564536,8.23557,0.229017,40
154,0.532492,8.23734,0.240946,42
155,0.542887,8.13344,0.240323,44
156,0.513071,8.0756,0.232761,46
157,0.513071,8.0756,0.232761,46
158,0.513071,8.0756,0.232761,46
159,0.513071,8.0756,0.232761,46
160,0.47317,8.10751,0.226906,52
161,0.482387,8.07709,0.232448,52
162,0.501683,8.09665,0.233467,50
163,0.507962,8.08557,0.23251,51
164,0.526384,8.04017,0.233646,54
165,0.538872,7.98937,0.235679,51
166,0.535422,8.01319,0.236818,53
167,0.538977,8.04195,0.230488,58
168,0.547858,8.03501,0.226468,60
169,0.5612,7.98468,0.229154,61
170,0.564525,7.89668,0.22289,66
171,0.562469,7.85202,0.219876,68
172,0.561649,7.82651,0.21403,67
173,0.550515,7.83693,0.216918,68
174,0.550515,7.83693,0.216918,68
175,0.542515,7.8388,0.215244,68
176,0.542515,7.8388,0.215244,68
177,0.529499,7.8494,0.220552,74
178,0.558715,7.84284,0.224818,77
179,0.540828,7.76438,0.227748,82
180,0.553124,7.72027,0.230987,85
181,0.549585,7.62192,0.232894,91
182,0.538506,7.6399,0.236094,89
183,0.536855,7.63071,0.232238,89
184,0.535447,7.54172,0.227175,94
185,0.525496,7.53303,0.223989,97
186,0.516326,7.5621,0.219464,99
187,0.518777,7.57023,0.217993,101
188,0.526761,7.66469,0.210209,106
189,0.529701,7.64581,0.218787,109
190,0.532856,7.63961,0.219661,110
191,0.531377,7.63504,0.219753,111
192,0.537523,7.6046,0.218722,110
193,0.519528,7.59535,0.21498,111
194,0.526797,7.54208,0.21628,115
195,0.517042,7.5589,0.210714,120
196,0.503518,7.52931,0.211052,127
197,0.501498,7.44867,0.205909,142
198,0.496957,7.4447,0.210256,143
199,0.493925,7.43122,0.210243,144
200,0.496633,7.41672,0.208206,147
201,0.490325,7.45872,0.204038,147
202,0.491868,7.42004,0.20746,149
203,0.504426,7.42996,0.209162,153
204,0.509816,7.41761,0.210064,156
205,0.503802,7.40453,0.202895,156
