update,mean_coopval,mean_foodval,mean_p53,count
0,0.5,10,0.08,1
1,0.5,10,0.08,1
2,0.5,10,0.08,1
3,0.5,10,0.08,1
4,0.5,10,0.08,1
5,0.5,10,0.08,1
6,0.5,10,0.08,1
7,0.5,10,0.08,1
8,0.5,10,0.08,1
9,0.5,10,0.08,1
10,0.5,10,0.08,1
11,0.5,10,0.08,1
12,0.5,10,0.08,1
13,0.5,10,0.08,1
14,0.5,10,0.08,1
15,0.5,10,0.08,1
16,0.5,10,0.08,1
17,0.5,10,0.08,1
18,0.5,10,0.08,1
19,0.5,10,0.08,1
20,0.491504,10,0.0911606,2
21,0.491504,10,0.0911606,2
22,0.491504,10,0.0911606,2
23,0.491504,10,0.0911606,2
24,0.491504,10,0.0911606,2
25,0.491504,10,0.0911606,2
26,0.491504,10,0.0911606,2
27,0.491504,10,0.0911606,2
28,0.491504,10,0.0911606,2
29,0.491504,10,0.0911606,2
30,0.491504,10,0.0911606,2
31,0.491504,10,0.0911606,2
32,0.491504,10,0.0911606,2
33,0.491504,10,0.0911606,2
34,0.491504,10,0.0911606,2
35,0.491504,10,0.0911606,2
36,0.491504,10,0.0911606,2
37,0.491504,10,0.0911606,2
38,0.491504,10,0.0911606,2
39,0.491504,10,0.0911606,2
40,0.446341,11.3822,0.126393,4
41,0.446341,11.3822,0.126393,4
42,0.446341,11.3822,0.126393,4
43,0.446341,11.3822,0.126393,4
44,0.446341,11.3822,0.126393,4
45,0.446341,11.3822,0.126393,4
46,0.446341,11.3822,0.126393,4
47,0.446341,11.3822,0.126393,4
48,0.446341,11.3822,0.126393,4
49,0.446341,11.3822,0.126393,4
50,0.446341,11.3822,0.126393,4
51,0.446341,11.3822,0.126393,4
52,0.446341,11.3822,0.126393,4
53,0.446341,11.3822,0.126393,4
54,0.446341,11.3822,0.126393,4
55,0.446341,11.3822,0.126393,4
56,0.446341,11.3822,0.126393,4
57,0.446341,11.3822,0.126393,4
58,0.446341,11.3822,0.126393,4
59,0.446341,11.3822,0.126393,4
60,0.427679,13.3446,0.11274,7
61,0.427679,13.3446,0.11274,7
62,0.427679,13.3446,0.11274,7
63,0.427679,13.3446,0.11274,7
64,0.427679,13.3446,0.11274,7
65,0.427679,13.3446,0.11274,7
66,0.427679,13.3446,0.11274,7
67,0.427679,13.3446,0.11274,7
68,0.427679,13.3446,0.11274,7
69,0.427679,13.3446,0.11274,7
70,0.427679,13.3446,0.11274,7
71,0.427679,13.3446,0.11274,7
72,0.525761,15.1934,0.135943,8
73,0.525761,15.1934,0.135943,8
74,0.525761,15.1934,0.135943,8
75,0.525761,15.1934,0.135943,8
76,0.525761,15.1934,0.135943,8
77,0.525761,15.1934,0.135943,8
78,0.525761,15.1934,0.135943,8
79,0.525761,15.1934,0.135943,8
80,0.443435,14.6164,0.120838,9
81,0.443435,14.6164,0.120838,9
82,0.443435,14.6164,0.120838,9
83,0.443435,14.6164,0.120838,9
84,0.443435,14.6164,0.120838,9
85,0.375059,15.8327,0.109075,12
86,0.375059,15.8327,0.109075,12
87,0.446944,15.6494,0.108497,13
88,0.446944,15.6494,0.108497,13
89,0.446944,15.6494,0.108497,13
90,0.446944,15.6494,0.108497,13
91,0.446944,15.6494,0.108497,13
92,0.446944,15.6494,0.108497,13
93,0.382535,16.7145,0.107495,14
94,0.382535,16.7145,0.107495,14
95,0.382535,16.7145,0.107495,14
96,0.382535,16.7145,0.107495,14
97,0.382535,16.7145,0.107495,14
98,0.382535,16.7145,0.107495,14
99,0.42183,16.3621,0.103076,15
100,0.446115,15.9645,0.0966339,16
101,0.446115,15.9645,0.0966339,16
102,0.446115,15.9645,0.0966339,16
103,0.446115,15.9645,0.0966339,16
104,0.446115,15.9645,0.0966339,16
105,0.446115,15.9645,0.0966339,16
106,0.446115,15.9645,0.0966339,16
107,0.446115,15.9645,0.0966339,16
108,0.446115,15.9645,0.0966339,16
109,0.446115,15.9645,0.0966339,16
110,0.407577,15.8258,0.0964921,18
111,0.407577,15.8258,0.0964921,18
112,0.407577,15.8258,0.0964921,18
113,0.418526,15.7008,0.0914136,19
114,0.39945,15.9348,0.0898886,20
115,0.39945,15.9348,0.0898886,20
116,0.365833,16.3404,0.101545,21
117,0.394659,16.7535,0.101707,22
118,0.394659,16.7535,0.101707,22
119,0.358189,16.8159,0.0974514,24
120,0.337984,16.7344,0.092433,27
121,0.359462,16.9382,0.0937689,28
122,0.37471,17.0344,0.0888113,30
123,0.37471,17.0344,0.0888113,30
124,0.37471,17.0344,0.0888113,30
125,0.37471,17.0344,0.0888113,30
126,0.37471,17.0344,0.0888113,30
127,0.37471,17.0344,0.0888113,30
128,0.37471,17.0344,0.0888113,30
129,0.37471,17.0344,0.0888113,30
130,0.37471,17.0344,0.0888113,30
